Name,Telnet,Location,Software
"DREAMLAND BBS","104.174.3.6","North Hollywood, CA, USA","Mystic"
"DREAMLINE BBS","din.asciiattic.com","Caldwell, NJ, USA","MajorBBS"
"DROIDALVERSE TWGS","204.111.226.188:99","Front Royal, VA, USA","TWGS"
"DUAO BBS","hermes.okyler.com","Lille, , France","Synchronet"
"DUNDARACH BBS","dundarach.tplinkdns.com","Hull, , England","Mystic"
"DUNGEON BBS","59.167.142.49:22","Barton, ACT, Australia","Synchronet"
"DURA-EUROPOS","dura-bbs.net:6359","Tacoma, WA, USA","GBBS Pro"
"DYNAMITE BBS (1)","dynamite.bbsing.com","Oshkosh, WI, USA","Synchronet"
"DYNAMITE BBS (2)","dynamite.synchronetbbs.org:513","Fremont, CA, USA","Synchronet"
"DYSLEXIC DONKEY","dydo.erb.pw:1337","Colchester, , England","Enigma 1/2"
"EAGLE'S DARE BBS","bbsdoors.com","Locust Grove, VA, USA","WWIV"
"EAGLEWING BBS","dantheman.freeddns.org:6400","Sandy, UT, USA","Color 64"
"EAT MY SHORTS! BBS","ems-bbs.com","Anaheim, CA, USA","Wildcat"
"ECHO BASE BBS","96.27.249.221","Naperville, IL, USA","Mystic"
"ECHO CHAMBER BBS","echochamber.zapto.org:3640","Sacramento, CA, USA","Mystic"
"ECLIPSE BBS","eclipsebbs.com","Louisa, KY, USA","Worldgroup"
"* EFECTOLINUX","bbs.efectolinux.com","San Antonio, TX, USA","Synchronet"
"* ELDRITCH CLOCKWORK","eldritchclockwork.net","Chicago, IL, USA","Synchronet"
"ELECTRAPHYSICS","142.11.212.221","Toronto, ON, CA","TWGS"
"ELECTRONIC CHICKEN BBS","bbs.electronicchicken.com","Toronto, ON, Canada","Synchronet"
"ELEVATOR BBS","162.212.158.202","Chicago, IL, USA","EleBBS"
"EMERALD HILL BBS","bbs.emeraldhill.org","Cleveland, OH, USA","Synchronet"
"EMERALD VALLEY","bbs.emeraldvalley.net","Eugene, OR, USA","Synchronet"
"EMU486","bbs.emu486.net","Banqiao, , Taiwan","MapleBBS"
"ENCHANTED BBS","47.38.20.227","Slidell, LA, USA","Virtual BBS"
"END OF THE LINE BBS","endofthelinebbs.com","Plano, TX, USA","Synchronet"
"ENIAC 2.0 BBS","eniacv2.net:1337","Salt Lake City, UT, USA","Mystic"
"ENIGMA BBS","enigma-bbs.com","Calais, , France","Synchronet"
"ENIGMA ECHO","84.152.32.107:2323","Wittlich, , Germany","Enigma 1/2"
"ENLIGHT BBS","enlight.hopto.org:6400","Morris Plains, NJ, USA","SPBBS"
"ENTERPRISE BBS","enterprisebbs.ddns.net:1701","Runnemede, NJ, USA","Color 64"
"ENTROPY BBS","121.99.249.4","Christchurch, , New Zealand","Daydream"
"ERICADE NETWORK","the.ericade.net","Stockholm, , Sweden","Amiga"
"ERROR 200 TECH BBS","bbs.error200.tech:1337","Highland, IL, USA","Mystic"
"ERROR 404 (TWGS)","error404bbs.ddns.net:24","Perrysburg, OH, USA","TWGS"
"ERROR 404 BBS FILE SERVER","error404bbs.ddns.net:513","Perrysburg, OH, United States","Mystic"
"ERROR 404 BBS PHONE BOOK","error404bbs.ddns.net:419","Perrysburg, OH, USA","Mystic"
"ESCAPE TO OTHER WORLDS","etow.synchro.net","San Jose, CA, USA","Synchronet"
"* ETERNAL DOMAIN BBS","bbs.eternaldomain.net","Bakersfield, CA, USA","Mystic"
"ETHERNET GATEWAY","ethernetgateway.com","Kansas City, MO, USA","Synchronet"
"EXOPLANET","exoplanetbbs.net","Severna Park, MD, USA","Synchronet"
"EXTREME BBS","bayvillewireless.com","Bay City, MI, USA","Worldgroup"
"EXTRICATE BBS","bbs.extricate.org","Godalming, , England","Synchronet"
"EYE OF THE BEHOLDER","fido.beholderbbs.org","Badalona, , Spain","BBBS"
"EYE OF THE STORM","on.the.net.nz","Christchurch, , New Zealand","Synchronet"
"FADING BLACK","23.95.146.28:8282","Upland, CA, USA","Enigma 1/2"
"FAITH COLLAPSING BBS","bbs.faithcollapsing.com:2323","Dayton, OH, USA","WWIV"
"FAKER BBS","thafaker.crabdance.com:8088","Eisenhuttenstadt, , Germany","Enigma 1/2"
"FAMILY BBS","familybbs.ddns.net","Auckland, , New Zealand","Mystic"
"FATCATS BBS","fatcatsbbs.com","Barry, , Wales","Synchronet"
"FDD1","fdd.one","Clifton, NJ, USA","Synchronet"
"FENNEC BBS","50.116.41.177","Atlanta, GA, USA","Synchronet"
"FERCHO BBS","ferchobbs.ddns.net:2323","Buenos Aires, , Argentina","Synchronet"
"FILE BANK BBS","tfb-bbs.org","Carins, QLD, Australia","Wildcat"
"FILES 4 FUN BBS","bbs.f4fbbs.com:2323","Omaha, NE, USA","Mystic"
"FIREBALL EXPRESS (VADV)","vadv.fireballex.com:2323","Montreal, QC, Canada","Virtual Advanced"
"FIRESIDE BBS","firesidebbs.com:23231","Little Rock, AR, USA","Mystic"
"FIRST DIVISION","158.174.185.101:1987","Gothenburg, , Sweden","Daydream"
"FLIPPERZERO BBS","bbs.gglab.cloud:2323","Livorno, , Italy","Mystic"
"FLUPH BBS","fluph.zapto.org","Bluecreek, WV, USA","Mystic"
"FLUXPOD INFORMATION EXCHANGE","fix.no:24","Oslo, , Norway","BBBS"
"FMRL","fmrl.throwbackbbs.com:2324","Meriden, CT, USA","Iniquity"
"FOENIX RISING (1)","192.184.90.222:256","Seattle, WA, USA","WWIV"
"FOOL'S QUARTER BBS","fqbbs.synchro.net","West Linn, OR, USA","Synchronet"
"FOREM XE BBS","foremxebbs.ddns.net:9999","Allentown, PA, USA","Forem XE"
"FORGOTTEN MEMORIES","dazexy.synology.me:52323","Otteveny, , Hungary","Synchronet"
"FORTRESS OF DOOM","fodbbs.dyndns.org:6502","Boynton Beach, FL, USA","Ivory BBS"
"FORZE BBS","bbs.opicron.eu","Amsterdam, Noord Holland, Netherlands","Mystic"
"FREE CORNER","bbs.debonne.eu","Amsterdam, , The Netherlands","ProBoard"
"FREESIDE BBS","freeside.bbs.io","Cincinnati, OH, USA","Mystic"
"FREEWAY BBS","freeway.vkradio.com","Bendigo, VIC, Australia","Synchronet"
"FRENCH CONNECTION","72.38.168.118:31023","Renfrew, ON, Canada","Custom"
"FRIA BAD BBS","78.69.198.127:64128","Fria Bad, Helsingborg, Skaune, Sweden","C-Base"
"FROZEN FLOPPY BBS","bbs.retrohack.se:64128","Ahus, , Sweden","C-Base"
"FRUGAL COMPUTING BBS","frugalbbs.com:513","Columbia, SC, USA","Synchronet"
"FTELNET DEMO SERVER","bbs.ftelnet.ca","Port Coquitlam, BC, Canada","Synchronet"
"FUJI SUMMIT","winnow.1q1.me","Chicago, IL, USA","Synchronet"
"FUNTOPIA","funtopia.ddnss.eu:3023","Kleinmachnow, , Germany","Synchronet"
"FURRY REFUGE","bbs.furryrefuge.com","Weatogue, CT, USA","Synchronet"
"FUTURE WORLD II","fw2.cnetbbs.net:6800","Fort Worth, TX, USA","CNet Pro"
"GALACTIC EXPLORERS TWGS","galacticexplorers.servegame.com:22002","Spartanburg, SC, USA","TWGS"
"GALAXY 74 BBS","galaxy74bbs.com","Phoenix, AZ, USA","Synchronet"
"GAME MASTER","bbs.game-master.com","Lac-Simon, QC, Canada","Worldgroup"
"GAMENET BBS NETWORK","gamenet.synchronetbbs.org","Fremont, CA, USA","Synchronet"
"GATE BBS (SYNCHRONET)","thegateb.synchro.net","Shelby, NC, USA","Synchronet"
"GATE BBS (WWIV)","thegateb.synchro.net:2424","Shelby, NC, USA","WWIV"
"* GATORNET HQ BBS","gatornet.us","Anderson, IN, USA","Synchronet"
"GCC-BBS","gcc-bbs.com","Altamont, TN, USA","Synchronet"
"GDOS BBS","gdos.synchronetbbs.org","Fremont, CA, USA","Synchronet"
"GENERATION III POT-D","geniv.dyndns.org:150","Brooklyn, NY, USA","PCBoard"
"GENETIC-POINT BBS","g-point.tunk.org:500","Tampere, , Finland","MAX's PRO"
"GHOSTS IN THE MACHINE","ghostmachine.ddns.net:1717","Indianapolis, IN, USA","WWIV"
"GIGABITE BBS","bbs.gigabite.se","Mora, , Sweden","WWIV"
"GLITCHNET","50.115.170.113","Crofton, MD, USA","Synchronet"
"GLOBAL CHAOS BBS","globalchaosbbs.com","Prittriching, Bavaria, Germany","Wildcat"
"GLOBAL VILLAGE BBS","the.globalvillagebbs.net:2323","Falkenstein, , Germany","Mystic"
"GOLDMINE COMMUNITY DOOR GAME SERVER","goldminedoors.com:2513","Santa Clara, CA, USA","Synchronet"
"GOOSENET BBS","bbs.g00r00.com","Stukenbrock, , Germany","Mystic"
"GRIDLOCK BBS","gridlock.synchronetbbs.org","Fremont, CA, USA","Synchronet"
"GRIMOIRE BBS","grimoirebbs.sytes.net","Sayreville, NJ, USA","Worldgroup"
"GRINCHES REALM, THE","tgr.freeddns.org","Edgerton, WI, USA","Mystic"
"GROUND CONTROL BBS","gcbbs.net:2323","Jacksonville, FL, USA","Mystic"
"GROUND ZERO BBS","71.239.223.149:2323","Park Forest, IL, USA","Mystic"
"GUARDIAN OF FOREVER","guardian.synchro.net","Ferguson, MO, USA","Synchronet"
"GURU BBS","bbs.bajer.cz:32","Ostrava, , Czech Republic","Maximus"
"HACIEND EL BANANAS","haciend.com:8821","Haciend, , Finland","Mystic"
"HACKMEETING 0X1B BBS","95.217.16.88:8888","Helsinki, , Finland","Enigma 1/2"
"HAGAR'S HELPLINE","hagars.org.uk:24","London, , England","EleBBS"
"HALLS OF VALHALLA BBS","hovalbbs.com:2333","San Francisco, CA, USA","Synchronet"
"HAPPYLAND","citadel.dc540.org:23230","Amsterdam, , The Netherlands","Citadel"
"HARBOR BBS","96.30.192.92","Atlanta, GA, USA","Synchronet"
"HARD DRIVE CAFE","hdcbbs.com","Montgomery, AL, USA","Synchronet"
"HATED REALITY","hatedreality.homeunix.net","Monroe, MI, USA","Worldgroup"
"HAWAII BBS ATARI 8 BIT","atari-bbs.zapto.org:8888","Hessen, , Germany","Oasis"
"HAX0R'S PALACE","telnet.unknownrealm.org","Pittsburgh, PA, USA","Synchronet"
"HEATWAVE","heatwave.ddns.net:9640","Montgomery, TX, USA","S&amp;T"
"HEIGHTS BBS","heightsbbs.heightspc.net:6860","Casas Adobes, AZ, USA","C-Net"
"HERBIES BBS II","herbies-bbs.ddns.net","Weil am Rhein, , Germany","Mystic"
"HERBIES-BBS III","herbies-bbs.ddns.net:2424","Frankfurt am Main, , Germany","Synchronet"
"HEXED BBS","hexedbbs.com:23999","Troy, OH, US","Oblivion/2"
"HIDDEN BBS","the-hidden.hopto.org:64128","Stuttgart, , Germany","C-Base"
"HIDDEN PARADISE","hpbbs.dyndns.org","Batavia, NY, USA","Wildcat"
"HIDDEN PARADISE II","hpbbs.dyndns.org:2323","Batavia, NY, USA","Synchronet"
"HIGH DESERT BBS","highdesertbbs.ddns.net:6400","Lancaster, CA, USA","commodore"
"HIGHERNEST TWGS","199.244.48.171","New York City, NY, USA","TWGS"
"HISPAMSX BBS","bbs.hispamsx.org","Almeria, , Spain","Synchronet"
"HOBBIT EMPIRE","bbs.hobbitempire.net:6501","Hartford, CT, USA","CNet Pro"
"HOBBIT STATION BBS","wfido.ru:1234","Kaluga, , Russia","Custom"
"HOBBY LINE! BBS","hobbylinebbs.com","Sun City Center, FL, USA","Wildcat"
"HOHIMER BBS","mail.hohimer.org:1336","St. Louis, MO, USA","Mystic"
"HOLD FAST BBS","interzone.annexia.xyz:2323","Ottawa, ON, Canada","Mystic"
"HOLOGRAM COMPUTING BBS","sbbs.hologramcomputing.net","Ashburn, VA, USA","Synchronet"
"HONEY-AT-HOME","31.133.0.38","Warsaw, , Poland","MBSE"
"HORIZON BBS","bbs.horizonbbs.org","Huntington Beach, CA, USA","Synchronet"
"HOTWIRE BBS","hotwirebbs.dyndns.org:4800","Boynton Beach, FL, USA","Ivory BBS"
"HOUSE OF BAUD BBS","houseofbaud.com:8888","San Francisco, CA, USA","Enigma 1/2"
"HUANIAN XIAOJI","literature.twbbs.io","Santa Clara, CA, USA","Current PTT"
"HYNET BBS","bbs.hyena.network","Frankfurt am Main, , Germany","Enigma 1/2"
"HYSTERIA BBS","bbs.retrorewind.ca","Toronto, ON, Canada","Zeus"
"IB-BBS","bbs.ibbs.be","Brussels, , Belgium","Custom"
"ICE CASTLE BBS","ice-castle-bbs.net","Anchorage, AK, USA","Synchronet"
"ILEFINIAN CASTLE","bbs.elwynor.com","Raleigh, NC, USA","Worldgroup"
"IMZADI BOX","box.imzadi.de","Karlsruhe, , Germany","Synchronet"
"INCONSISTENCY BBS","66.228.57.87:2323","Atlanta, GA, USA","WWIV"
"INFINITE DREAM BBS","aws1.fmerino.com.br","Ashburn, VA, USA","Synchronet"
"INFONET BBS","bbs.rclabs.com.br:2323","Dusseldorf, , Germany","Mystic"
"INNER CORE","sbbs.ricin.io","Fairfield, CA, USA","Wildcat"
"INSANE ASYLUM BBS","tiabbs.synchro.net","Harveys Lake, PA, USA","Synchronet"
"INSOMNIA","insomnia.synchronetbbs.org","Atlanta, GA, USA","Synchronet"
"INTEGRATED TELECOMMUNICATIONS CENTRE","itcbbs.ddns.net:23000","Windsor, ON, Canada","TBBS"
"INTERNETKING'S TRADEWAR 2002 SERVER","tw.internetking.us","Kent, WA, USA","TWGS"
"INTERZONE BBS","bbs.interzone.cloud","Burnaby, BC, Canada","Mystic"
"IOWA STUDENT ASSC. BBS (ISCA)","bbs.iscabbs.com","Iowa City, IA, USA","DOC"
"IPTIA BBS (SYNCHRONET)","bbs2.ipingthereforeiam.com:2323","Stafford, VA, USA","Synchronet"
"ISIS UNVEILED","70.123.70.30","Austin, TX, USA","Mystic"
"ITBNET BBS","bbs.itbnet.eu","Arezzo, , Italy","Mystic"
"ITCHY BUTT BBS (COLOR 64)","itchybutt.org:6502","King George, VA, USA","Color 64"
"JAMAICA JOE'S","bbs.jamaicajoes.net:8011","Las Vegas, NV, USA","WWIV"
"JAWNCON0X1 BBS","157.245.141.84:8888","North Bergen, NJ, USA","Enigma 1/2"
"* JOE'S COMPUTER BBS","joesbbs.com","Edmonton, AB, Canada","Mystic"
"JOLLY ROGER BBS, THE","bbs.thejollyrogerbbs.com:8023","Cambridge, , England","ArmBBS"
"JRS SECURITY","www.jrs-security.com","Hialeah, FL, USA","Synchronet"
"JUMPSTART BBS","www.exciter.ws","Wasilla, AK, USA","Synchronet"
"JUNGLE BBS (1)","junglebbs.com","Mount Arlington, NJ, USA","Custom"
"JUNGLE BBS (2)","bbs.junglebbs.com","Dover, NJ, USA","MajorBBS"
"JUPITER","jupiter.bbs.io","Clayton, OH, USA","Synchronet"
"KAYPRO BBS","71.236.163.239","Portland, OR, USA","Synchronet"
"KCM BBS SYSTEM","zahrl.ddns.net:2023","Vienna, , Austria","Mystic"
"KD3NET","bbs.kd3.us","Pawtucket, RI, USA","Synchronet"
"KD8HFX","bbs.kd8hfx.net","Allen Park, MI, USA","Synchronet"
"KEEP BBS","thekeep.net","Carlton, OR, USA","Worldgroup"
"KERNEL FORTRESS","kernelfortress.org","Durham, NC, USA","Enigma 1/2"
"KILOBAUD","bbs.kilobaud.xyz:8888","Akron, OH, USA","Synchronet"
"KILOBYTE","24.166.43.233","Doylestown, OH, USA","Synchronet"
"KINGDOM'S END BBS (SYNCHRONET)","sbbs.kingdomsendbbs.net","Fremont, CA, USA","Synchronet"
"KIRIKA BBS","andcycle.idv.tw","Taipei, , Taiwan","MapleBBS"
"KIWIMATES","96.231.233.47","Laurel, MD, USA","Worldgroup"
"KORENBLOM","bbs.korenblom.nl","Amsterdam, , The Netherlands","Mystic"
"KRAABY GAMER BBS","kraaby.synchro.net","Donna, TX, USA","Synchronet"
"KUEHLBOX","kuehlbox.wtf","Frankfurt, , Germany","Mystic"
"LAB BBS, THE","bbs.dicksonlabs.net:2325","Dickson, TN, USA","Mystic"
"LAKE HOUSE BBS","lakehouse.lilpenguins.com:2333","Charlotte, NC, USA","Synchronet"
"LAND OF FROGS AND CONTEMPLATION","lofac.mintyfresh.love","The Dalles, OR, USA","Synchronet"
"LAND OF THE LOST","landofthelost.ca:2300","Vancouver, BC, Canada","Custom"
"LANDOVER BBS","landover.synchronetbbs.org","Fremont, CA, USA","Synchronet"
"LAST RANGERS' BBS","lastrangers.com","Detroit, MI, USA","Synchronet"
"LEISURE TIME BBS","bbs.riddells.net:10023","New Baden, IL, USA","Mystic"
"LEVEL 29","bbs.fozztexx.com","Fair oaks, CA, USA","Custom"
"LEXICON BBS (IMAGE BBS)","lexiconbbs.com:6400","Colonia, NJ, USA","Image BBS"
"LIANE BBS","bbs.vslib.cz","Liberec, , Czech Republic","Custom"
"LILAC COMMUNITY BBS","lilacbbs.com","Hong Kong, , China","Custom"
"LIQUID DIGITAL","98.212.225.126","Rockford, IL, USA","Worldgroup"
"LIVE WIRE BBS","livewirebbs.com:1025","Plymouth, MN, USA","Synchronet"
"LOCAL YOCAL BBS","localyocalbbs.com","Clearwater, FL, USA","Synchronet"
"LOFI BBS","lofi.rip","Toronto, ON, Canada","Enigma 1/2"
"LOPHT BBS","lopht.hexedbbs.com:1337","Troy, OH, USA","Mystic"
"LORD RAPTOR'S DOMAIN","150.221.218.212","Silsbee,, TX, USA","Synchronet"
"LORD.STABS.ORG","lord.stabs.org","Vancouver, BC, Canada","Custom"
"LOST CAVERNS BBS","tlcbbs.dynu.net:6400","Macomb Township, MI, USA","Centipede BBS"
"LOST CHORD BBS (COMMODORE BBS)","tlcbbs.synchro.net:6400","Cheyenne, WY, USA","C-Net"
"LOST CHORD BBS (SEARCHLIGHT BBS)","tlcbbs.synchro.net:6023","Cheyenne, WY, USA","Searchlight"
"LOST CHORD BBS (SYNCHRONET BBS)","tlcbbs.synchro.net","Cheyenne, WY, USA","Synchronet"
"LOSTWAYS BBS","98.144.7.205","Brookfield, WI, USA","Worldgroup"
"LOWCRASH DEV BBS","bbs.lowcrash.dev:8888","Ljubljana, , Slovenia","Enigma 1/2"
"LSNET ARCHIVE","bbs.lsnet.dev:513","Ashburn, VA, USA","Synchronet"
"LUNAR MOD","bbs.beanzilla.net:2323","Atlanta, GA, USA","Talisman BBS"
"LUNATICS UNLEASHED BBS","lunaticsunleashed.ddns.net:2333","Tonawanda, NY, USA","Mystic"
"LV-426","lv426bbs.hopto.org:6464","Norfolk, VA, USA","CNet Pro"
"LYTICAL HACKFUND BBS","134.209.40.1:31337","Clifton, NJ, USA","Enigma 1/2"
"M. STATION","mstation.servebbs.com","Miami, FL, USA","AmiExpress"
"MACHDYNE BBS","206.189.226.31","North Bergen, NJ, USA","Mystic"
"MADE TO RAID","bbs.madetoraid.com:2323","Jewett City, CT, USA","Mystic"
"MADMAN WITH A BLUE BOX","madmanbbs.ddns.net","Bartlett, TX, USA","Mystic"
"MADWORLD BBS","www.madworldbbs.com:52146","Kansas City, MO, USA","Centipede BBS"
"MAGIC SYSTEMS","86.88.76.77:6323","Dordrecht, , The Netherlands","MagicBBS"
"MAGNUM BBS","magnumbbs.net","Huddersfield, West Yorkshire, England","Synchronet"
"MAHONEY-CLAN TWGS","209.126.4.147","St. Louis, MO, USA","TWGS"
"MAIKS PLACE BBS","bbs.maik.ch:2323","Neunkirch, , Switzerland","Mystic"
"MAJOR MUDD","majormud.gotdns.com","Mount Prospect, IL, USA","MajorBBS"
"MAJORBBS OFFICIAL DEMO BBS","bbs.themajorbbs.com","Ashburn, VA, USA","MajorBBS"
"MAKER BBS","73.11.3.16:2323","Eugene, OR, USA","Mystic"
"MALEVOLENCE","jf2.elderec.net","Beaverton, OR, USA","Worldgroup"
"MANIAC ZONE","tmz.synchronetbbs.org","Fremont, CA, USA","Synchronet"
"MANIC MODEM BBS","telnet.manic-modem.com","Union, KY, USA","Wildcat"
"MARK VAN DAELE'S TWGS","game.tw2002.net","Aurora, IL, USA","TWGS"
"MASTER BOOT RECORD","mbrserver.com","Arezzo, , Italy","Mystic"
"MASTERCOM","bbs.sunspothq.dyndns.org","Sun City West, AZ, USA","Synchronet"
"MASTODON","mastodon.uy","Montevideo, , Uruguay","Mystic"
"MAXBBS","maxbbs.ddns.net:24023","Salerno, , Italy","Felixia"
"MBPEIKERT","mbpeikert.ddns.net","Berlin, , Germany","Mystic"
"MBSE PROFESSIONAL DEV BBS","phoenix.bnbbbs.net:2323","Pawcatuck, CT, USA","MBSE"
"MEDUSA BBS","174.3.235.112:230","Edmonton, AB, Canada","Synchronet"
"MEGA BBS PUBLIC BBS SYSTEM","themegabbs.com:6400","Fairfax, VA, USA","Mystic"
"MEL'S DINER BBS","bbs.greenphosphor.ca:6623","New York City, NY, USA","Mystic"
"MEMPHIS TW BBS","bbs.memphistw.org","Memphis, TN, USA","Synchronet"
"MEMPHIS TW TWGS","bbs.memphistw.org:2002","Memphis, TN, USA","TWGS"
"METAL ZONE","tmzbbs01.synchro.net","Weslaco, TX, USA","Synchronet"
"METRO OLOGRAFIX","bbs.olografix.org","Pescara, , Italy","Wildcat"
"MEUW BBS","3.18.220.180","Columbus, OH, USA","Worldgroup"
"MICROBLASTER TWGS","microblaster.net:2002","Boulder, CO, USA","TWGS"
"MICROPOLIS BBS","89.58.56.146","Los Angeles, CA, USA","Custom"
"MICROTOWN BBS","microtownbbs.com:6400","Princeton, NJ, USA","CGBBS"
"MIDNIGHT CLUB","club.midnight-club.org","Gretna, VA, USA","Synchronet"
"MIDNIGHT LOUNGE","67.149.17.69","Panama City Beach, FL, USA","Synchronet"
"MIMAC REBIRTH","mimac.bizzi.org:2323","Roubaix, , France","Mystic"
"MISSING LINKS","mlinks.com","Las Vegas, NV, USA","Wildcat"
"MISTRESS OF FIRE","mistressoffire.com","Brentwood, TN, USA","Synchronet"
"MIYA NET","miyanet.moe","Frankfurt am Main, , Germany","Synchronet"
"MIZUKI COMMUNITY (NEWSMTH BBS)","bbs.newsmth.net","Beijing, , China","Custom"
"MMN BBS","mail.oh.mg","Paris, , France","Wildcat"
"MODEMO TIDER","modematider.selstam.nu:50023","Stockholm, , Sweden","Mystic"
"MODERN RETRO, THE","173.217.78.103:2323","Sulphur, LA, USA","Mystic"
"MOE'S TAVERN","moetiki.ddns.net:27","Frankfort, KY, USA","GT-2000"
"MOJO'S WORLD BBS","mojo.synchro.net","Lansing, MI, USA","Synchronet"
"MONOCHROME","mono.org","London, , UK","Monochrome"
"MONTEREY BBS (DAYDREAM)","137.184.84.9","Santa Clara, CA, USA","Daydream"
"MONTEREY BBS (MYSTIC)","montereybbs.com","Santa Clara, CA, USA","Mystic"
"MOON BASE ALPHA (TWGS)","mba.dnsalias.com:2002","Kirkland, WA, USA","TWGS"
"MOON BASE ALPHA (VADV)","mba.dnsalias.com","King County, WA, United States of America","Virtual Advanced"
"MORATAHACK","moratahack.com","Ashburn, VA, USA","Synchronet"
"MORNINGSIDE MORTUARY","mortuary.ddns.net","Hilo, HI, USA","Worldgroup"
"MOUSENET","bbs-mousenet.dynip.online:8889","Eschenburg, , Germany","BBS Express Pro"
"MOUTH OF HELL BBS","mouthofhell.duckdns.org","Montreal, QC, Canada","Synchronet"
"MOZY'S SWAMP AND RED DWARF BBS","bbs.mozysswamp.org","Melbourne , VIC, Australia","Synchronet"
"MOZY'S SWAMP AND RED DWARF TWGS","bbs.mozysswamp.org:24","Melbourne, VIC, Australia","TWGS"
"MS-BOB BBS","msbob.org","South San Francisco, CA, US","Synchronet"
"MSMAC BBS","msmacbbs.maletazul.pt","Falkenstein, , Germany","Synchronet"
"MTLGEEK (SYNCHRONET)","mtlgeek.synchro.net","Montreal, QC, Canada","Synchronet"
"MTLGEEK (TWGS)","mtlgeek.synchro.net:2002","Montreal, QC, Canada","TWGS"
"MUINET","muinet.com:2323","Minnetonka, MN, USA","Custom"
"MULTINUBE-BBS","multinube.net","Kansas City, MO, USA","Synchronet"
"MUSIC STATION","bbs.bsrealm.net","Saint Petersburg, , Russia","Tornado"
"MUTINY BBS (1)","mutinybbs.com:2332","Cleveland, OH, USA","Synchronet"
"MUTINY BBS (2)","mutiny.cigdangle.com:65023","Madison, WI, USA","MajorBBS"
"MUTINY BRAZIL","51.222.231.228:2323","Beauharnois, QC, Canada","Mystic"
"MUTINY COMMUNITY","mutinybbs.com:2300","Cleveland, OH, USA","Custom"
"MY RETRO COMPUTER","myretrocomp.com","Richardson, TX, USA","Synchronet"
"MYSMTH BBS","bbs.mysmth.net","Beijing, , China","Custom"
"MYSTERIA MAJICKA BBS","majicka.at2k.org:1955","West Barnstable, MA, USA","Virtual Advanced"
"* MYSTIC GARDEN","bbs.akitsune.dev","Piscataway, NJ, USA","Synchronet"
"MYSTIC HOBBIES","mystic-hobbies.com","Ruskin, FL, USA","Mystic"
"MYSTIC MOUNTAIN BBS","pyroto.mysticmountain.us:8086","Moses Lake, WA, USA","Custom"
"MYSTIC NIGHT BBS","69.244.173.57","Warren, MI, USA","Worldgroup"
"MYSTIC REALMS","mysticrealms.ddns.net:11000","Woodstock, ON, Canada","Mystic"
"MYSTIC RHYTHMS BBS","mystic.wwivbbs.org","Mountain View, CA, USA","WWIV"
"MYSTICAL REALM BBS","mysticalrealmbbs.com","Casas Adobes, AZ, USA","Synchronet"
"MYTHICAL KINGDOM TECH BBS","ice.lilacway.com:3000","Dayton, OH, USA","Custom"
"MYTHICAL KINGDOM TECH SBBS","bbs.mythicalkingdom.com:5023","Dayton, OH, USA","Synchronet"
"NANYANG INN","bbs.nykz.net","Shanghai, , China","Firebird"
"NE BBS","nebbs.servehttp.com:9223","Long Island, NY, USA","Custom"
"NERDRAGE BBS","142.90.39.212","St. Thomas, ON, Canada","Mystic"
"NERVOUS HOSPITAL","thenervoushospital.com:1996","Leeds, AL, USA","Worldgroup"
"NETCRAVE COMMUNICATIONS","bbs.netcrave.io","Seattle, WA, USA","Synchronet"
"NETPOINT","185.229.238.56","Rom, , Italy","Synchronet"
"NETTWERKED BBS","nettwerked.synchronetbbs.org","Ashburn, VA, USA","Synchronet"
"NEVER NEVER LAND BBS","neverneverlandbbs.com:2323","Toledo, OH, USA","Mystic"
"NEW WORLD OF THE INTERNET","209.141.35.127","Las Vegas, NV, USA","Sun of Beach"
"NEXUS BBS","nexus.aefinity.io","Cannock, , England","Synchronet"
"NIGHTBITE BBS","nightbite.redirectme.net:2323","Novi Sad, , Serbia","AmiExpress"
"NIKOM BBS","bbs.nikom.org:2323","Santa Clara, CA, USA","Custom"
"NINE WORLDS BBS","thenineworlds.dnshome.de:923","Stuttgart, , Germany","Mystic"
"NINJALANE LABS BBS","209.161.6.234:223","Boise, ID, USA","Synchronet"
"NITE EYES BBS","bbs.lizardmaster.com","Portland, OR, USA","Synchronet"
"NITELITE BBS","nitelite.ddns.net:9000","Capo, CA, USA","Atari"
"NITRO STORE","52.3.252.74","Ashburn, VA, USA","Worldgroup"
"NO CARRIER BBS","bbs.wehack.net","Chatsworth, CA, USA","MajorBBS"
"NON-EXISTANT BBS","174.24.123.81","Colorado Springs, CO, USA","Maximus"
"NORTH ONE GIRLS MIDDLE SCHOOL","fgisc.org","Taipei, , Taiwan","Custom"
"NORTHERN PALACE","thenorthernpalace.com:2020","Copenhagen, , Denmark","AmiExpress"
"NOSTALMANIA","nostalmania.com","Dublin, , Ireland","Synchronet"
"* NOT COWS","45.63.69.192","Elk Grove Village, IL, USA","Enigma 1/2"
"NOTTINGHAM BBS","nottinghambbs.com:2323","Nottingham, , England","Synchronet"
"NOWHERE TWGS","joestavern.ddns.net:2002","Fort Wayne, IN, USA","TWGS"
"NRG BBS SYSTEMS","nrgbbs.ddns.net:520","Strongsville, OH, USA","BBS Express!"
"NUCLEAR CLUB","nuke.club:513","Fremont, CA, USA","Synchronet"
"NUT ASYLUM (MYSTIC)","108.29.0.206:2323","Brooklyn, NY, USA","Mystic"
